OPPORTUNITY_ID,ACCOUNT_NAME,LEAD_SOURCE_CAMPAIGN,STAGE,AMOUNT_USD,CREATED_DATE,CLOSE_DATE,BUSINESS_GROUP,REGION
OPP-24933b83,Taylor-Mcgee,CMP-141,Closed Won,220299.05,2024-01-29,2024-02-25,SIBG,LATAM
OPP-95a76d79,Hurst-Ross,CMP-141,Closed Won,397880.13,2024-01-30,2024-02-14,SIBG,LATAM
OPP-2369b584,"Snyder, Campos and Callahan",CMP-141,Closed Lost,260489.89,2024-01-26,2024-02-15,SIBG,LATAM
OPP-cac5b68c,"Henderson, Brown and James",CMP-141,Closed Won,298829.21,2024-02-01,2024-02-20,SIBG,LATAM
OPP-405cacec,"Valencia, Smith and Le",CMP-141,Closed Won,331467.49,2024-02-01,2024-02-19,SIBG,LATAM
OPP-c0398710,Mack-Peterson,CMP-141,Closed Won,329297.62,2024-02-03,2024-02-21,SIBG,LATAM
OPP-74273ca3,Mckay Ltd,CMP-141,Closed Won,407674.99,2024-01-23,2024-02-19,SIBG,LATAM
OPP-c30ff46e,Romero Inc,CMP-141,Closed Won,320938.48,2024-02-02,2024-02-22,SIBG,LATAM
OPP-d777a477,"Romero, Gonzalez and Brooks",CMP-141,Closed Won,217526.35,2024-01-27,2024-02-10,SIBG,LATAM
OPP-c754108f,"Sellers, George and Burns",CMP-141,Closed Won,363341.21,2024-02-01,2024-02-28,SIBG,LATAM
OPP-e0f3eab0,Allen-Allen,CMP-132,Closed Lost,196963.61,2020-11-24,2020-12-16,SIBG,EMEA
OPP-15ed6269,"Tucker, Jones and Hodges",CMP-129,Closed Won,239880.24,2024-08-26,2024-10-05,HCBG,EMEA
OPP-a8e56e0c,Arroyo-Martin,CMP-230,Closed Won,205418.24,2020-11-18,2020-12-17,CBG,LATAM
OPP-6c52c49f,Hickman Ltd,CMP-230,Negotiation,377187.89,2020-11-11,,CBG,LATAM
OPP-4fcca39a,Carney-Santos,CMP-230,Closed Won,204777.75,2020-11-16,2020-12-11,CBG,LATAM
OPP-7394988f,Wright Inc,CMP-165,Closed Won,170539.84,2022-05-08,2022-06-18,CBG,APAC
OPP-8dcdcd03,Chapman Inc,CMP-165,Closed Won,212787.05,2022-05-08,2022-06-17,CBG,APAC
OPP-0f1259e0,Jones Inc,CMP-111,Closed Lost,177487.53,2023-04-27,2023-06-22,CBG,APAC
OPP-839fbc50,Ramirez Group,CMP-137,Closed Won,436933.38,2021-04-20,2021-05-16,TEBG,LATAM
OPP-b92da22b,"Johnston, Sanchez and Kennedy",CMP-137,Closed Lost,206357.46,2021-04-19,2021-05-13,TEBG,LATAM
OPP-18d0752b,"Jordan, Henderson and Owens",CMP-137,Closed Lost,222635.29,2021-04-11,2021-05-05,TEBG,LATAM
OPP-a748dbcf,"Garcia, Powell and Morgan",CMP-137,Closed Won,310380.51,2021-04-10,2021-05-08,TEBG,LATAM
OPP-310c0c00,Herrera and Sons,CMP-137,Closed Won,252258.41,2021-04-19,2021-05-13,TEBG,LATAM
OPP-766ecb15,Baxter Inc,CMP-137,Closed Won,263090.51,2021-04-09,2021-04-27,TEBG,LATAM
OPP-db20a56e,"Garcia, Pearson and Fernandez",CMP-137,Closed Lost,239439.23,2021-04-16,2021-04-30,TEBG,LATAM
OPP-ed2662e9,Martin Group,CMP-137,Negotiation,283147.04,2021-04-18,,TEBG,LATAM
OPP-66aa9385,Martin Inc,CMP-137,Closed Lost,163724.25,2021-04-20,2021-05-06,TEBG,LATAM
OPP-ed3049cf,Mitchell-Horton,CMP-137,Closed Won,226896.27,2021-04-10,2021-05-08,TEBG,LATAM
OPP-8e46d534,"Higgins, Moore and Phillips",CMP-116,Negotiation,255596.55,2022-10-14,,CBG,NA
OPP-bc594585,"Brown, Edwards and Williams",CMP-116,Closed Lost,194795.26,2022-10-21,2022-11-17,CBG,NA
OPP-da4bd9ca,"Moore, Yu and Miller",CMP-217,Closed Won,200493.7,2024-02-23,2024-03-21,TEBG,NA
OPP-1165e210,"Hensley, Powell and David",CMP-217,Closed Won,324376.96,2024-02-23,2024-04-01,TEBG,NA
OPP-98326856,Harvey Group,CMP-217,Closed Won,203502.37,2024-03-06,2024-04-07,TEBG,NA
OPP-85d51695,Donovan-Harris,CMP-217,Closed Won,277516.84,2024-02-29,2024-04-06,TEBG,NA
OPP-43ff5011,Anderson-Brewer,CMP-109,Negotiation,160445.07,2021-09-15,,SIBG,EMEA
OPP-c07a30f2,Smith PLC,CMP-109,Closed Won,224797.12,2021-09-14,2021-10-10,SIBG,EMEA
OPP-19985f15,Medina PLC,CMP-190,Closed Won,256815.5,2024-06-15,2024-07-21,CBG,NA
OPP-5958a499,Suarez LLC,CMP-190,Closed Won,138804.61,2024-06-23,2024-07-23,CBG,NA
OPP-d5704f32,"Warner, Carr and Archer",CMP-192,Closed Won,169694.53,2023-06-26,2023-07-23,TEBG,LATAM
OPP-aaf91531,"Evans, Alvarado and Mcmillan",CMP-192,Negotiation,205911.13,2023-06-20,,TEBG,LATAM
OPP-e3c43657,Newton and Sons,CMP-192,Closed Lost,245420.78,2023-06-16,2023-07-07,TEBG,LATAM
OPP-35ebd32d,"Cooper, Watts and Farrell",CMP-190,Closed Lost,152031.5,2024-05-17,2024-06-11,CBG,NA
OPP-e7c421c7,Davis Group,CMP-190,Closed Lost,279851.32,2024-05-28,2024-06-25,CBG,NA
OPP-00e85ece,Wise-Walsh,CMP-170,Negotiation,153722.21,2023-09-06,,HCBG,NA
OPP-711c21c9,"Thornton, Hoffman and Rodriguez",CMP-139,Negotiation,319590.94,2020-06-16,,HCBG,NA
OPP-e767dcea,Gardner LLC,CMP-139,Closed Won,264260.87,2020-06-14,2020-07-03,HCBG,NA
OPP-6e068097,Williams LLC,CMP-139,Closed Won,251230.57,2020-06-07,2020-07-03,HCBG,NA
OPP-f8e1daa7,Nolan and Sons,CMP-139,Closed Won,285273.72,2020-06-12,2020-06-26,HCBG,NA
OPP-1a50aec3,Deleon-Henson,CMP-139,Closed Won,293843.01,2020-06-10,2020-07-02,HCBG,NA
OPP-bfddc3d9,Frost and Sons,CMP-139,Closed Won,338523.23,2020-06-07,2020-06-28,HCBG,NA
OPP-ccc56569,Keith Inc,CMP-139,Closed Lost,427435.45,2020-06-11,2020-07-05,HCBG,NA
OPP-550a1b46,Pham-Shields,CMP-139,Closed Won,387098.78,2020-06-17,2020-07-11,HCBG,NA
OPP-28c13091,"Rodriguez, Brennan and Garrison",CMP-139,Negotiation,331559.52,2020-06-10,,HCBG,NA
OPP-eb1fa9f2,Bailey-Hoover,CMP-139,Closed Won,411903.84,2020-06-12,2020-07-09,HCBG,NA
OPP-060edf5b,"Lee, Murphy and Lin",CMP-139,Closed Won,309314.59,2020-06-16,2020-07-05,HCBG,NA
OPP-59e4b671,"Hicks, Frazier and Anthony",CMP-139,Closed Won,351696.62,2020-06-07,2020-07-01,HCBG,NA
OPP-1d870966,White-Estes,CMP-139,Closed Lost,282710.36,2020-06-09,2020-06-30,HCBG,NA
OPP-98b8e4cc,Reed-Hartman,CMP-139,Closed Lost,307365.1,2020-06-06,2020-06-29,HCBG,NA
OPP-82ec9f2d,Cruz PLC,CMP-106,Closed Won,184915.78,2023-10-13,2023-11-01,TEBG,APAC
OPP-b572f3d0,Smith-Frost,CMP-106,Closed Won,390617.39,2023-10-14,2023-10-31,TEBG,APAC
OPP-f0b5156b,"Mclaughlin, Gonzalez and Reynolds",CMP-106,Closed Lost,297131.79,2023-10-15,2023-10-30,TEBG,APAC
OPP-5487fd4f,"Edwards, Charles and Cortez",CMP-106,Closed Won,280995.41,2023-10-15,2023-11-11,TEBG,APAC
OPP-aab97e49,Nguyen-Terry,CMP-161,Closed Won,267192.26,2022-07-01,2022-07-31,SIBG,LATAM
OPP-6ba25efe,"Bentley, Byrd and Orr",CMP-129,Negotiation,163489.92,2024-08-23,,HCBG,EMEA
OPP-67f48ad5,"Bass, Torres and Clark",CMP-129,Closed Lost,245269.77,2024-08-14,2024-09-08,HCBG,EMEA
OPP-a79ac9aa,Marshall-Ramos,CMP-129,Closed Won,272996.77,2024-08-13,2024-09-04,HCBG,EMEA
OPP-cb323e35,"Jackson, Miller and Robertson",CMP-129,Closed Lost,185087.28,2024-08-17,2024-09-22,HCBG,EMEA
OPP-17e8392a,Chambers and Sons,CMP-129,Closed Won,286482.37,2024-08-14,2024-09-07,HCBG,EMEA
OPP-0640be0f,Sanchez Group,CMP-129,Closed Lost,168043.77,2024-08-16,2024-09-23,HCBG,EMEA
OPP-12a4def0,Perry-Soto,CMP-197,Negotiation,159325.83,2021-10-30,,CBG,LATAM
OPP-624c69b6,Ross-Hernandez,CMP-166,Negotiation,334677.66,2021-10-28,,HCBG,APAC
OPP-c03f3538,Osborne and Sons,CMP-168,Closed Lost,152708.56,2023-08-02,2023-09-02,CBG,EMEA
OPP-b227462c,"Marshall, Grant and Lowery",CMP-168,Closed Won,194410.82,2023-07-29,2023-08-30,CBG,EMEA
OPP-cd29a36f,Contreras-Travis,CMP-168,Closed Won,141754.42,2023-08-03,2023-08-21,CBG,EMEA
OPP-c1581092,Salazar-Ball,CMP-168,Closed Won,240588.17,2023-07-29,2023-09-01,CBG,EMEA
OPP-e827a1b9,"Griffin, Moore and Hensley",CMP-168,Closed Lost,169902.39,2023-07-24,2023-08-22,CBG,EMEA
OPP-3f4b1a70,"Ramirez, Strickland and Washington",CMP-123,Negotiation,190237.34,2023-03-08,,CBG,NA
OPP-13d5f2f7,"Mitchell, Nelson and Flores",CMP-207,Closed Won,237231.42,2021-02-21,2021-03-07,TEBG,NA
OPP-269cd696,Reyes and Sons,CMP-207,Closed Won,312641.66,2021-02-28,2021-03-19,TEBG,NA
OPP-6a34c854,Rivera-Owens,CMP-207,Closed Won,377129.69,2021-02-20,2021-03-13,TEBG,NA
OPP-6b8e869f,Stein-Silva,CMP-207,Closed Won,299193.98,2021-02-24,2021-03-13,TEBG,NA
OPP-e172b725,"James, Smith and Bell",CMP-207,Closed Won,386597.03,2021-02-22,2021-03-09,TEBG,NA
OPP-e4429ebb,Medina-Navarro,CMP-207,Closed Won,286079.19,2021-02-27,2021-03-18,TEBG,NA
OPP-3875394c,Robinson-Graham,CMP-207,Closed Lost,185456.47,2021-02-25,2021-03-25,TEBG,NA
OPP-ab3b4d37,"Yates, Ramsey and Pittman",CMP-207,Closed Won,346342.67,2021-02-27,2021-03-18,TEBG,NA
OPP-9f4c3b79,"Johnson, Long and Elliott",CMP-207,Closed Won,268473.14,2021-02-17,2021-03-09,TEBG,NA
OPP-6db99102,Camacho and Sons,CMP-207,Closed Won,328566.26,2021-02-21,2021-03-10,TEBG,NA
OPP-53cd6268,Gibson LLC,CMP-207,Closed Won,192823.28,2021-02-18,2021-03-17,TEBG,NA
OPP-473bd358,King-Miller,CMP-207,Closed Won,295863.72,2021-02-24,2021-03-11,TEBG,NA
OPP-0d557b61,Walker-Jones,CMP-207,Closed Won,418888.8,2021-02-27,2021-03-16,TEBG,NA
OPP-c1156d6d,Herring and Sons,CMP-207,Closed Won,359967.81,2021-02-27,2021-03-23,TEBG,NA
OPP-2702878b,Martinez Ltd,CMP-207,Closed Won,231891.61,2021-02-26,2021-03-12,TEBG,NA
OPP-37cc863b,Lyons-Wang,CMP-207,Closed Lost,280264.04,2021-02-17,2021-03-15,TEBG,NA
OPP-f6b751f7,"Higgins, Strickland and Martin",CMP-207,Closed Won,207018.62,2021-02-22,2021-03-11,TEBG,NA
OPP-0692dc63,Johnston-Odonnell,CMP-207,Closed Won,306654.72,2021-02-19,2021-03-17,TEBG,NA
OPP-b70b3420,Jones Ltd,CMP-207,Closed Won,228328.62,2021-02-26,2021-03-15,TEBG,NA
OPP-1a16342c,"Barton, Jefferson and Burke",CMP-207,Closed Won,427944.18,2021-02-18,2021-03-17,TEBG,NA
OPP-90e0f4a0,Reed Group,CMP-207,Closed Won,202345.61,2021-02-25,2021-03-14,TEBG,NA
OPP-8186a576,"Peterson, Atkinson and Short",CMP-207,Closed Won,224082.03,2021-02-26,2021-03-15,TEBG,NA
OPP-5cb85aed,"Snow, Stevens and Hernandez",CMP-207,Closed Won,284151.34,2021-02-20,2021-03-11,TEBG,NA
OPP-f7294951,"Nelson, Morton and Medina",CMP-207,Closed Won,350877.76,2021-02-19,2021-03-17,TEBG,NA
OPP-d36357b6,"Vargas, Morris and Sanchez",CMP-207,Closed Lost,272253.97,2021-02-26,2021-03-12,TEBG,NA
OPP-e1b294de,Sanchez-Marshall,CMP-207,Closed Lost,399097.4,2021-02-21,2021-03-20,TEBG,NA
OPP-561e16d1,Snyder LLC,CMP-159,Closed Won,185885.77,2022-05-21,2022-06-08,TEBG,NA
OPP-5ad5cf06,Peterson-Beard,CMP-130,Closed Won,304585.37,2022-06-11,2022-07-03,HCBG,NA
OPP-8e485223,Black and Sons,CMP-177,Closed Won,274751.82,2021-08-20,2021-09-04,CBG,EMEA
OPP-680bac63,Peters-Allen,CMP-177,Closed Won,169487.03,2021-08-28,2021-09-24,CBG,EMEA
OPP-7da67785,Mcguire-Davis,CMP-177,Closed Won,244365.41,2021-08-18,2021-09-03,CBG,EMEA
OPP-3e493f43,Beck-Wood,CMP-177,Closed Won,359923.55,2021-08-18,2021-09-06,CBG,EMEA
OPP-6cedd15d,"Pierce, Bell and Chavez",CMP-177,Closed Won,221027.58,2021-08-21,2021-09-13,CBG,EMEA
OPP-1ee34dc4,"Lee, Wilson and Herrera",CMP-177,Negotiation,509436.85,2021-08-23,,CBG,EMEA
OPP-3108d448,Rodgers LLC,CMP-177,Closed Won,276145.21,2021-08-20,2021-09-07,CBG,EMEA
OPP-c29cfc0c,"Carlson, Hooper and Wall",CMP-177,Closed Won,152807.08,2021-08-18,2021-09-03,CBG,EMEA
OPP-2defe193,Smith-Ferguson,CMP-177,Closed Lost,195705.13,2021-08-29,2021-09-18,CBG,EMEA
OPP-0df56ac6,"Carter, Raymond and Little",CMP-177,Closed Won,123486.72,2021-08-26,2021-09-10,CBG,EMEA
OPP-df6a8f93,Andrews Group,CMP-129,Closed Lost,407845.09,2024-07-29,2024-08-21,HCBG,EMEA
OPP-2f32751e,King Group,CMP-129,Closed Lost,195085.24,2024-07-25,2024-08-29,HCBG,EMEA
OPP-6694c343,Jones-Soto,CMP-215,Closed Won,331174.62,2021-05-17,2021-06-08,HCBG,EMEA
OPP-cfa701cd,"Avery, Miller and Wright",CMP-215,Closed Won,253513.67,2021-05-21,2021-06-05,HCBG,EMEA
OPP-9b37a22b,"Gibbs, Perez and Mills",CMP-215,Closed Won,346845.01,2021-05-19,2021-06-10,HCBG,EMEA
OPP-4c1f55ab,"Branch, Torres and Oliver",CMP-215,Closed Won,232231.3,2021-05-15,2021-06-07,HCBG,EMEA
OPP-19675f06,Garrett LLC,CMP-215,Closed Won,296842.78,2021-05-12,2021-06-06,HCBG,EMEA
OPP-3d67cde9,Arnold and Sons,CMP-215,Closed Won,259457.86,2021-05-22,2021-06-13,HCBG,EMEA
OPP-b07aa066,"Harrison, Johnson and Roberts",CMP-215,Closed Lost,333569.61,2021-05-16,2021-06-06,HCBG,EMEA
OPP-743b65a2,Mcdaniel LLC,CMP-237,Closed Lost,206197.43,2023-10-30,2023-11-13,SIBG,APAC
OPP-96fc734d,"Lara, Gonzalez and Wilson",CMP-237,Closed Won,208153.7,2023-10-20,2023-11-18,SIBG,APAC
OPP-e88da719,Serrano-Jones,CMP-237,Closed Won,270024.55,2023-10-26,2023-11-22,SIBG,APAC
OPP-9854ce4e,"Holloway, Morse and Gonzales",CMP-135,Closed Won,207522.81,2020-06-01,2020-07-14,CBG,LATAM
OPP-b321bf21,Bender-Mason,CMP-127,Closed Won,198975.69,2021-05-03,2021-05-31,HCBG,NA
OPP-9918ee46,Preston Ltd,CMP-117,Closed Won,183909.79,2024-04-09,2024-05-09,TEBG,NA
OPP-069f14f1,Perez Ltd,CMP-187,Negotiation,267732.63,2022-09-27,,CBG,APAC
OPP-964db03f,Key Ltd,CMP-187,Closed Won,221903.75,2022-09-24,2022-10-17,CBG,APAC
OPP-0a4c9f7f,Ruiz Ltd,CMP-151,Closed Won,321664.05,2022-03-19,2022-04-06,SIBG,NA
OPP-2e76128b,"Graham, Olsen and Costa",CMP-151,Closed Lost,277133.19,2022-03-26,2022-04-19,SIBG,NA
OPP-5553b2fe,Santiago-Hodge,CMP-151,Closed Won,308741.36,2022-03-26,2022-04-17,SIBG,NA
OPP-7ed70ed7,Bates-Morales,CMP-151,Closed Won,294520.13,2022-03-28,2022-04-16,SIBG,NA
OPP-746f7891,Edwards LLC,CMP-151,Closed Lost,216706.0,2022-03-23,2022-04-15,SIBG,NA
OPP-6778043b,"Bryan, Smith and Booth",CMP-151,Closed Won,361219.06,2022-03-25,2022-04-12,SIBG,NA
OPP-300568d2,"Cox, Avila and Garrett",CMP-151,Closed Won,384966.14,2022-03-24,2022-04-15,SIBG,NA
OPP-445dcc38,"Anderson, Roberts and Gilmore",CMP-151,Closed Lost,273146.1,2022-03-26,2022-04-15,SIBG,NA
OPP-f920264c,"Lynch, Allen and Moore",CMP-151,Closed Lost,274475.03,2022-03-18,2022-04-13,SIBG,NA
OPP-687213f9,Walker Inc,CMP-118,Closed Won,396050.28,2020-03-09,2020-03-24,TEBG,NA
OPP-a5d04d53,Jimenez Ltd,CMP-118,Closed Lost,319072.2,2020-03-08,2020-04-01,TEBG,NA
OPP-45ff2c83,Davenport-Baird,CMP-118,Negotiation,398374.15,2020-03-06,,TEBG,NA
OPP-25074181,Lee-Greene,CMP-118,Closed Won,269101.38,2020-03-01,2020-03-21,TEBG,NA
OPP-dd30de89,Hill Group,CMP-118,Closed Won,323757.83,2020-03-05,2020-04-02,TEBG,NA
OPP-81fb18b3,Hoover-Campbell,CMP-118,Closed Won,489575.11,2020-03-01,2020-03-21,TEBG,NA
OPP-9475dbc9,"Burns, Hernandez and Ryan",CMP-118,Negotiation,341184.47,2020-03-03,,TEBG,NA
OPP-c34b9fbb,"Bennett, Cantu and Kane",CMP-118,Negotiation,272385.51,2020-03-05,,TEBG,NA
OPP-9261549d,Hall-Rowe,CMP-118,Negotiation,297332.82,2020-03-04,,TEBG,NA
OPP-7914f8a8,"Mcintyre, James and Mcneil",CMP-118,Closed Won,251883.14,2020-02-28,2020-03-18,TEBG,NA
OPP-fb16e5db,Simpson Inc,CMP-118,Closed Won,314956.57,2020-03-04,2020-03-23,TEBG,NA
OPP-9716108e,Kane-Sawyer,CMP-197,Closed Lost,188405.53,2021-11-28,2021-12-20,CBG,LATAM
OPP-e912b4bf,Smith-Thomas,CMP-197,Closed Won,241750.58,2021-11-23,2021-12-11,CBG,LATAM
OPP-2784378f,Harrison LLC,CMP-197,Closed Won,192170.32,2021-11-28,2021-12-27,CBG,LATAM
OPP-65c17795,"Miller, Murphy and Craig",CMP-197,Closed Won,254863.96,2021-11-19,2021-12-05,CBG,LATAM
OPP-5110b492,"Higgins, Malone and Brennan",CMP-201,Closed Lost,231305.28,2022-05-25,2022-06-10,TEBG,NA
OPP-3c19e71d,"Cohen, Mitchell and Perez",CMP-201,Closed Won,211035.1,2022-05-30,2022-06-16,TEBG,NA
OPP-1933918c,"Padilla, Garcia and Jackson",CMP-201,Closed Lost,236028.87,2022-06-04,2022-06-29,TEBG,NA
OPP-0bc61066,Flynn-Carter,CMP-201,Closed Lost,270769.83,2022-05-26,2022-06-26,TEBG,NA
OPP-3e83b91f,"Jenkins, Maldonado and White",CMP-201,Closed Lost,251475.98,2022-05-24,2022-06-25,TEBG,NA
OPP-deef580f,Harvey-Allen,CMP-201,Closed Won,214863.74,2022-06-01,2022-07-02,TEBG,NA
OPP-3b70b3a1,Little-Stevens,CMP-201,Closed Won,253906.07,2022-05-29,2022-07-03,TEBG,NA
OPP-cdfc6ee0,Santana-Byrd,CMP-201,Negotiation,229929.64,2022-05-25,,TEBG,NA
OPP-f1faf665,Huerta-Evans,CMP-201,Closed Lost,239694.96,2022-05-29,2022-07-03,TEBG,NA
OPP-40066ff2,Bruce-Gonzalez,CMP-201,Negotiation,163245.11,2022-05-30,,TEBG,NA
OPP-1b4da0fe,James LLC,CMP-201,Negotiation,281858.48,2022-05-28,,TEBG,NA
OPP-b303f438,Johnson-Greer,CMP-201,Closed Won,249596.18,2022-05-28,2022-06-22,TEBG,NA
OPP-90e0b95f,"Osborne, Beltran and Lozano",CMP-201,Negotiation,154464.9,2022-05-25,,TEBG,NA
OPP-e776b886,Parsons-Hall,CMP-239,Closed Lost,127225.13,2021-06-25,2021-08-05,CBG,LATAM
OPP-a2f963a3,Oliver Ltd,CMP-139,Negotiation,348084.73,2020-06-26,,HCBG,NA
OPP-a8c01f05,"Massey, Fuller and Berger",CMP-139,Closed Won,259473.65,2020-07-01,2020-07-18,HCBG,NA
OPP-c9e26074,Johnson-Diaz,CMP-139,Closed Won,255094.46,2020-06-25,2020-07-14,HCBG,NA
OPP-4b8c5bdc,Burgess-Thompson,CMP-139,Closed Lost,276420.2,2020-07-02,2020-07-21,HCBG,NA
OPP-e05fb8bc,Schmidt-Mcintyre,CMP-139,Closed Won,254751.65,2020-06-25,2020-07-21,HCBG,NA
OPP-e9ff1cae,Coffey-Phillips,CMP-139,Closed Won,244276.22,2020-06-28,2020-07-21,HCBG,NA
OPP-1d7bc313,Mccarty-Taylor,CMP-139,Closed Won,192221.59,2020-06-27,2020-07-23,HCBG,NA
OPP-ad238d36,"Craig, Sanders and Singleton",CMP-139,Negotiation,252859.77,2020-06-30,,HCBG,NA
OPP-ca6a2224,Smith-Herrera,CMP-139,Closed Lost,210904.18,2020-07-02,2020-07-28,HCBG,NA
OPP-bfbf397b,"Baker, James and Little",CMP-139,Closed Lost,408980.92,2020-07-03,2020-07-26,HCBG,NA
OPP-3bdbc09e,Johnson-Henson,CMP-139,Closed Lost,429752.41,2020-07-04,2020-07-28,HCBG,NA
OPP-9c2e58de,Holland Ltd,CMP-139,Closed Lost,342783.7,2020-07-02,2020-07-16,HCBG,NA
OPP-b379cb1e,Banks-Wilson,CMP-139,Closed Won,403159.41,2020-07-03,2020-07-31,HCBG,NA
OPP-4dead645,Wilson-Young,CMP-139,Closed Won,248054.94,2020-07-04,2020-07-31,HCBG,NA
OPP-7421ff46,Santiago-Paul,CMP-139,Closed Lost,347257.22,2020-07-05,2020-07-23,HCBG,NA
OPP-965befdf,"Barber, Mcclure and Pena",CMP-139,Closed Won,344874.48,2020-06-24,2020-07-10,HCBG,NA
OPP-687a4850,Johnson-Wood,CMP-139,Closed Won,327124.68,2020-06-28,2020-07-23,HCBG,NA
OPP-3c71e0be,Garcia-Jennings,CMP-212,Negotiation,137250.46,2020-09-26,,HCBG,EMEA
OPP-a5135ea0,Brown-Hill,CMP-212,Negotiation,251026.28,2020-09-28,,HCBG,EMEA
OPP-d918b3e5,Davis-Lewis,CMP-161,Closed Lost,140428.59,2022-07-12,2022-08-06,SIBG,LATAM
OPP-0577aea9,Buchanan and Sons,CMP-161,Closed Lost,199320.57,2022-07-19,2022-08-30,SIBG,LATAM
OPP-90882eaf,Jones PLC,CMP-161,Negotiation,220941.42,2022-07-16,,SIBG,LATAM
OPP-d0243d72,Murphy and Sons,CMP-224,Closed Won,222245.73,2023-09-08,2023-10-19,SIBG,APAC
OPP-00b9d4a3,Garrison-Thomas,CMP-224,Negotiation,266394.27,2023-09-06,,SIBG,APAC
OPP-cc6b66e5,Rodriguez Inc,CMP-224,Closed Won,198105.33,2023-09-17,2023-10-24,SIBG,APAC
OPP-ca3c6f5f,Chapman Inc,CMP-224,Closed Won,163475.05,2023-09-09,2023-10-12,SIBG,APAC
OPP-20733f6d,"Fisher, Wilson and Brown",CMP-224,Closed Won,183460.78,2023-09-12,2023-10-17,SIBG,APAC
OPP-83639007,"Rodriguez, Gordon and Dougherty",CMP-138,Closed Won,178296.88,2022-11-21,2022-12-17,SIBG,APAC
OPP-e8a3f341,"Boyd, Ellis and Maynard",CMP-138,Negotiation,256767.32,2022-11-21,,SIBG,APAC
OPP-d8e88ebb,Simmons-Rodriguez,CMP-205,Negotiation,408781.46,2020-10-09,,TEBG,EMEA
OPP-12d0498d,Morris and Sons,CMP-205,Closed Won,290098.83,2020-10-07,2020-10-30,TEBG,EMEA
OPP-9fd34579,"Richards, Joseph and James",CMP-205,Closed Won,357034.57,2020-09-29,2020-10-27,TEBG,EMEA
OPP-7426b193,"Jacobs, Garcia and Miles",CMP-205,Closed Lost,323315.25,2020-09-28,2020-10-14,TEBG,EMEA
OPP-e0b15aba,"Le, Lewis and Hayes",CMP-205,Negotiation,382466.53,2020-09-30,,TEBG,EMEA
OPP-d3d1bf0f,Ross-Blair,CMP-205,Closed Won,268063.9,2020-10-07,2020-10-21,TEBG,EMEA
OPP-aa448259,Brooks-Hernandez,CMP-205,Closed Won,210579.23,2020-10-08,2020-10-23,TEBG,EMEA
OPP-175a81ec,Davis Inc,CMP-205,Closed Lost,234189.92,2020-10-02,2020-10-23,TEBG,EMEA
OPP-cfd01cbd,Hawkins PLC,CMP-205,Closed Won,177623.74,2020-10-08,2020-10-28,TEBG,EMEA
OPP-5463adc7,"Martinez, Gomez and Ortega",CMP-205,Closed Won,230707.86,2020-10-05,2020-10-28,TEBG,EMEA
OPP-ea74bb18,"Williams, Roberts and Edwards",CMP-205,Closed Won,322394.57,2020-10-05,2020-10-25,TEBG,EMEA
OPP-36760ce5,Douglas and Sons,CMP-127,Closed Won,219251.1,2021-05-07,2021-05-27,HCBG,NA
OPP-d86a6460,"Richardson, Farmer and Andrews",CMP-149,Closed Won,297457.33,2024-06-08,2024-06-23,SIBG,LATAM
