CAMPAIGN_ID,CAMPAIGN_NAME,BG,REGION,DIVISION,TYPE,CHANNEL,START_DATE,DURATION
CMP-116,CBG_NA_HIC_LeadGen_CMP-116,CBG,NA,HIC,LeadGen,Microsoft Ads,2022-08-16,63
CMP-117,TEBG_NA_EMSD_Nurture_CMP-117,TEBG,NA,EMSD,Nurture,Meta (Instagram),2024-03-17,47
CMP-118,TEBG_NA_AD_LeadGen_CMP-118,TEBG,NA,AD,LeadGen,LinkedIn,2020-01-07,76
CMP-119,TEBG_EMEA_EMSD_Nurture_CMP-119,TEBG,EMEA,EMSD,Nurture,LinkedIn,2023-08-01,62
CMP-120,HCBG_EMEA_HIS_Brand_CMP-120,HCBG,EMEA,HIS,Brand,Programmatic,2024-05-13,89
CMP-121,SIBG_APAC_PSD_Brand_CMP-121,SIBG,APAC,PSD,Brand,LinkedIn,2022-01-13,86
CMP-122,TEBG_EMEA_EMSD_Brand_CMP-122,TEBG,EMEA,EMSD,Brand,X.com,2020-06-10,35
CMP-123,CBG_NA_CHIM_Brand_CMP-123,CBG,NA,CHIM,Brand,Trade Publications,2023-01-30,40
CMP-124,TEBG_LATAM_EMSD_Nurture_CMP-124,TEBG,LATAM,EMSD,Nurture,Programmatic,2023-11-13,42
CMP-125,TEBG_LATAM_AD_LeadGen_CMP-125,TEBG,LATAM,AD,LeadGen,Meta (Instagram),2022-07-13,37
CMP-126,HCBG_EMEA_MSD_LeadGen_CMP-126,HCBG,EMEA,MSD,LeadGen,LinkedIn,2023-02-08,44
CMP-127,HCBG_NA_MSD_Nurture_CMP-127,HCBG,NA,MSD,Nurture,Microsoft Ads,2021-04-13,34
CMP-128,SIBG_APAC_ASD_Nurture_CMP-128,SIBG,APAC,ASD,Nurture,LinkedIn,2023-10-02,61
CMP-129,HCBG_EMEA_HIS_Brand_CMP-129,HCBG,EMEA,HIS,Brand,Trade Publications,2024-07-11,56
CMP-130,HCBG_NA_MSD_Nurture_CMP-130,HCBG,NA,MSD,Nurture,Google Ads,2022-05-17,56
CMP-131,CBG_NA_CHIM_Brand_CMP-131,CBG,NA,CHIM,Brand,YouTube,2021-11-25,81
CMP-132,SIBG_EMEA_ASD_Brand_CMP-132,SIBG,EMEA,ASD,Brand,Programmatic,2020-10-14,57
CMP-133,HCBG_APAC_HIS_Brand_CMP-133,HCBG,APAC,HIS,Brand,X.com,2020-06-03,58
CMP-134,SIBG_NA_ASD_Brand_CMP-134,SIBG,NA,ASD,Brand,TikTok,2021-04-29,40
CMP-135,CBG_LATAM_HIC_Brand_CMP-135,CBG,LATAM,HIC,Brand,X.com,2020-04-30,40
CMP-136,CBG_NA_HIC_LeadGen_CMP-136,CBG,NA,HIC,LeadGen,X.com,2024-05-26,59
CMP-137,TEBG_LATAM_AD_Brand_CMP-137,TEBG,LATAM,AD,Brand,LinkedIn,2021-03-21,33
CMP-138,SIBG_APAC_ASD_Brand_CMP-138,SIBG,APAC,ASD,Brand,Programmatic,2022-10-26,88
CMP-139,HCBG_NA_MSD_Brand_CMP-139,HCBG,NA,MSD,Brand,LinkedIn,2020-05-19,73
CMP-140,HCBG_LATAM_MSD_Nurture_CMP-140,HCBG,LATAM,MSD,Nurture,LinkedIn,2023-05-02,32
CMP-141,SIBG_LATAM_PSD_LeadGen_CMP-141,SIBG,LATAM,PSD,LeadGen,LinkedIn,2024-01-06,50
CMP-142,HCBG_APAC_HIS_Brand_CMP-142,HCBG,APAC,HIS,Brand,Trade Publications,2021-09-06,59
CMP-143,TEBG_NA_EMSD_LeadGen_CMP-143,TEBG,NA,EMSD,LeadGen,Microsoft Ads,2023-02-27,36
CMP-144,SIBG_EMEA_PSD_Brand_CMP-144,SIBG,EMEA,PSD,Brand,TikTok,2020-05-20,86
CMP-145,HCBG_APAC_HIS_Brand_CMP-145,HCBG,APAC,HIS,Brand,YouTube,2023-01-17,75
CMP-146,TEBG_NA_AD_Nurture_CMP-146,TEBG,NA,AD,Nurture,LinkedIn,2020-10-02,46
CMP-147,SIBG_NA_ASD_LeadGen_CMP-147,SIBG,NA,ASD,LeadGen,Google Ads,2021-03-07,75
CMP-148,TEBG_EMEA_AD_Nurture_CMP-148,TEBG,EMEA,AD,Nurture,Google Ads,2024-09-28,33
CMP-149,SIBG_LATAM_PSD_Brand_CMP-149,SIBG,LATAM,PSD,Brand,LinkedIn,2024-04-28,38
CMP-150,TEBG_EMEA_AD_Nurture_CMP-150,TEBG,EMEA,AD,Nurture,YouTube,2023-02-22,30
CMP-151,SIBG_NA_ASD_Nurture_CMP-151,SIBG,NA,ASD,Nurture,LinkedIn,2022-01-26,67
CMP-152,HCBG_LATAM_MSD_Brand_CMP-152,HCBG,LATAM,MSD,Brand,YouTube,2024-06-18,85
CMP-153,SIBG_APAC_ASD_Nurture_CMP-153,SIBG,APAC,ASD,Nurture,LinkedIn,2020-07-29,52
CMP-154,CBG_EMEA_CHIM_Brand_CMP-154,CBG,EMEA,CHIM,Brand,Meta (Facebook),2024-07-18,41
CMP-155,CBG_NA_CHIM_Nurture_CMP-155,CBG,NA,CHIM,Nurture,X.com,2024-05-21,89
CMP-156,CBG_EMEA_HIC_Brand_CMP-156,CBG,EMEA,HIC,Brand,Trade Publications,2020-08-09,54
CMP-157,SIBG_LATAM_ASD_Brand_CMP-157,SIBG,LATAM,ASD,Brand,Meta (Instagram),2022-07-31,52
CMP-158,TEBG_EMEA_EMSD_Brand_CMP-158,TEBG,EMEA,EMSD,Brand,Trade Publications,2022-03-27,51
CMP-159,TEBG_NA_AD_LeadGen_CMP-159,TEBG,NA,AD,LeadGen,Microsoft Ads,2022-03-29,73
CMP-160,TEBG_NA_EMSD_LeadGen_CMP-160,TEBG,NA,EMSD,LeadGen,LinkedIn,2021-06-27,32
CMP-161,SIBG_LATAM_PSD_Nurture_CMP-161,SIBG,LATAM,PSD,Nurture,Programmatic,2022-06-12,68
CMP-162,SIBG_LATAM_ASD_LeadGen_CMP-162,SIBG,LATAM,ASD,LeadGen,LinkedIn,2022-06-12,30
CMP-163,HCBG_APAC_HIS_Brand_CMP-163,HCBG,APAC,HIS,Brand,TikTok,2021-11-07,69
CMP-164,TEBG_NA_AD_Nurture_CMP-164,TEBG,NA,AD,Nurture,Google Ads,2022-04-16,50
CMP-165,CBG_APAC_CHIM_Brand_CMP-165,CBG,APAC,CHIM,Brand,YouTube,2022-02-15,73
CMP-166,HCBG_APAC_HIS_Nurture_CMP-166,HCBG,APAC,HIS,Nurture,Trade Publications,2021-09-14,48
CMP-167,HCBG_LATAM_HIS_LeadGen_CMP-167,HCBG,LATAM,HIS,LeadGen,Google Ads,2023-10-15,43
CMP-168,CBG_EMEA_CHIM_LeadGen_CMP-168,CBG,EMEA,CHIM,LeadGen,Microsoft Ads,2023-07-20,69
CMP-169,TEBG_NA_EMSD_Nurture_CMP-169,TEBG,NA,EMSD,Nurture,Google Ads,2024-07-09,42
CMP-170,HCBG_NA_MSD_Brand_CMP-170,HCBG,NA,MSD,Brand,Meta (Facebook),2023-06-05,84
CMP-171,SIBG_LATAM_PSD_Nurture_CMP-171,SIBG,LATAM,PSD,Nurture,Microsoft Ads,2024-01-11,74
CMP-172,CBG_LATAM_HIC_Brand_CMP-172,CBG,LATAM,HIC,Brand,LinkedIn,2023-11-09,30
CMP-173,SIBG_LATAM_ASD_Brand_CMP-173,SIBG,LATAM,ASD,Brand,Meta (Instagram),2023-11-26,63
CMP-174,CBG_NA_CHIM_Brand_CMP-174,CBG,NA,CHIM,Brand,Programmatic,2024-06-29,59
CMP-175,TEBG_LATAM_AD_Nurture_CMP-175,TEBG,LATAM,AD,Nurture,Google Ads,2020-11-21,77
CMP-176,CBG_LATAM_HIC_Brand_CMP-176,CBG,LATAM,HIC,Brand,Meta (Instagram),2021-07-21,79
CMP-177,CBG_EMEA_HIC_LeadGen_CMP-177,CBG,EMEA,HIC,LeadGen,LinkedIn,2021-08-08,45
CMP-178,TEBG_APAC_AD_Nurture_CMP-178,TEBG,APAC,AD,Nurture,LinkedIn,2020-11-04,44
CMP-179,CBG_EMEA_CHIM_Brand_CMP-179,CBG,EMEA,CHIM,Brand,YouTube,2021-11-08,64
CMP-180,CBG_LATAM_CHIM_Brand_CMP-180,CBG,LATAM,CHIM,Brand,Meta (Instagram),2022-03-08,87
CMP-181,SIBG_LATAM_PSD_Brand_CMP-181,SIBG,LATAM,PSD,Brand,TikTok,2021-09-03,78
CMP-182,CBG_LATAM_CHIM_LeadGen_CMP-182,CBG,LATAM,CHIM,LeadGen,LinkedIn,2022-06-11,61
CMP-183,SIBG_LATAM_PSD_Nurture_CMP-183,SIBG,LATAM,PSD,Nurture,YouTube,2022-04-08,76
CMP-184,HCBG_LATAM_MSD_Nurture_CMP-184,HCBG,LATAM,MSD,Nurture,Microsoft Ads,2022-03-17,67
CMP-185,SIBG_NA_PSD_Brand_CMP-185,SIBG,NA,PSD,Brand,X.com,2021-01-07,33
CMP-186,TEBG_LATAM_AD_Brand_CMP-186,TEBG,LATAM,AD,Brand,Programmatic,2021-11-22,78
CMP-187,CBG_APAC_HIC_LeadGen_CMP-187,CBG,APAC,HIC,LeadGen,Trade Publications,2022-08-21,31
CMP-188,SIBG_APAC_ASD_Nurture_CMP-188,SIBG,APAC,ASD,Nurture,LinkedIn,2023-08-27,32
CMP-189,SIBG_EMEA_ASD_Brand_CMP-189,SIBG,EMEA,ASD,Brand,Programmatic,2021-05-03,38
CMP-190,CBG_NA_CHIM_LeadGen_CMP-190,CBG,NA,CHIM,LeadGen,YouTube,2024-04-19,53
CMP-191,HCBG_NA_MSD_LeadGen_CMP-191,HCBG,NA,MSD,LeadGen,LinkedIn,2020-02-22,89
CMP-192,TEBG_LATAM_AD_Nurture_CMP-192,TEBG,LATAM,AD,Nurture,LinkedIn,2023-04-27,74
CMP-193,HCBG_NA_HIS_Nurture_CMP-193,HCBG,NA,HIS,Nurture,Microsoft Ads,2020-09-04,80
CMP-194,SIBG_APAC_PSD_Nurture_CMP-194,SIBG,APAC,PSD,Nurture,Google Ads,2022-11-02,71
CMP-195,TEBG_NA_AD_LeadGen_CMP-195,TEBG,NA,AD,LeadGen,LinkedIn,2022-01-11,70
CMP-196,CBG_EMEA_HIC_Brand_CMP-196,CBG,EMEA,HIC,Brand,Trade Publications,2023-08-25,47
CMP-197,CBG_LATAM_HIC_Nurture_CMP-197,CBG,LATAM,HIC,Nurture,Microsoft Ads,2021-10-22,84
CMP-198,HCBG_NA_HIS_LeadGen_CMP-198,HCBG,NA,HIS,LeadGen,LinkedIn,2022-08-09,66
CMP-199,CBG_APAC_CHIM_LeadGen_CMP-199,CBG,APAC,CHIM,LeadGen,Trade Publications,2021-01-07,61
CMP-200,HCBG_APAC_HIS_LeadGen_CMP-200,HCBG,APAC,HIS,LeadGen,Google Ads,2023-05-05,74
CMP-201,TEBG_NA_EMSD_Brand_CMP-201,TEBG,NA,EMSD,Brand,Google Ads,2022-04-12,61
CMP-202,HCBG_LATAM_HIS_LeadGen_CMP-202,HCBG,LATAM,HIS,LeadGen,Programmatic,2020-07-09,48
CMP-203,HCBG_LATAM_MSD_LeadGen_CMP-203,HCBG,LATAM,MSD,LeadGen,YouTube,2022-01-25,60
CMP-204,TEBG_LATAM_AD_LeadGen_CMP-204,TEBG,LATAM,AD,LeadGen,YouTube,2021-07-08,49
CMP-205,TEBG_EMEA_EMSD_Nurture_CMP-205,TEBG,EMEA,EMSD,Nurture,LinkedIn,2020-09-01,77
CMP-206,HCBG_EMEA_MSD_Nurture_CMP-206,HCBG,EMEA,MSD,Nurture,Google Ads,2024-01-23,67
CMP-207,TEBG_NA_EMSD_LeadGen_CMP-207,TEBG,NA,EMSD,LeadGen,LinkedIn,2021-01-02,49
CMP-208,SIBG_EMEA_PSD_Brand_CMP-208,SIBG,EMEA,PSD,Brand,Meta (Facebook),2023-02-07,48
CMP-209,HCBG_LATAM_MSD_Brand_CMP-209,HCBG,LATAM,MSD,Brand,Programmatic,2022-08-19,60
CMP-210,CBG_APAC_CHIM_Brand_CMP-210,CBG,APAC,CHIM,Brand,Microsoft Ads,2022-09-05,37
CMP-211,SIBG_LATAM_PSD_Brand_CMP-211,SIBG,LATAM,PSD,Brand,Programmatic,2023-11-06,33
CMP-212,HCBG_EMEA_HIS_Brand_CMP-212,HCBG,EMEA,HIS,Brand,Meta (Facebook),2020-08-30,65
CMP-213,CBG_EMEA_HIC_LeadGen_CMP-213,CBG,EMEA,HIC,LeadGen,X.com,2021-08-31,85
CMP-214,CBG_APAC_CHIM_Nurture_CMP-214,CBG,APAC,CHIM,Nurture,TikTok,2020-07-22,90
CMP-215,HCBG_EMEA_HIS_Nurture_CMP-215,HCBG,EMEA,HIS,Nurture,LinkedIn,2021-05-06,41
CMP-216,SIBG_EMEA_ASD_LeadGen_CMP-216,SIBG,EMEA,ASD,LeadGen,Google Ads,2023-05-01,60
CMP-217,TEBG_NA_EMSD_LeadGen_CMP-217,TEBG,NA,EMSD,LeadGen,YouTube,2023-12-10,85
CMP-218,CBG_NA_CHIM_LeadGen_CMP-218,CBG,NA,CHIM,LeadGen,Programmatic,2023-07-04,67
CMP-219,HCBG_LATAM_MSD_Nurture_CMP-219,HCBG,LATAM,MSD,Nurture,LinkedIn,2020-11-01,88
CMP-220,TEBG_EMEA_EMSD_Brand_CMP-220,TEBG,EMEA,EMSD,Brand,LinkedIn,2021-09-21,68
CMP-221,TEBG_LATAM_EMSD_LeadGen_CMP-221,TEBG,LATAM,EMSD,LeadGen,YouTube,2023-12-04,55
CMP-222,TEBG_LATAM_AD_Brand_CMP-222,TEBG,LATAM,AD,Brand,Programmatic,2022-06-03,77
CMP-223,TEBG_APAC_EMSD_Brand_CMP-223,TEBG,APAC,EMSD,Brand,Google Ads,2023-10-12,83
CMP-224,SIBG_APAC_ASD_Brand_CMP-224,SIBG,APAC,ASD,Brand,Programmatic,2023-08-27,58
CMP-225,TEBG_EMEA_AD_Nurture_CMP-225,TEBG,EMEA,AD,Nurture,Trade Publications,2020-07-05,60
CMP-226,TEBG_LATAM_AD_LeadGen_CMP-226,TEBG,LATAM,AD,LeadGen,YouTube,2020-11-25,51
CMP-227,CBG_LATAM_HIC_Nurture_CMP-227,CBG,LATAM,HIC,Nurture,TikTok,2024-07-24,78
CMP-228,SIBG_LATAM_ASD_LeadGen_CMP-228,SIBG,LATAM,ASD,LeadGen,Google Ads,2020-08-25,79
CMP-229,CBG_NA_HIC_LeadGen_CMP-229,CBG,NA,HIC,LeadGen,LinkedIn,2022-11-27,53
CMP-230,CBG_LATAM_CHIM_Brand_CMP-230,CBG,LATAM,CHIM,Brand,Microsoft Ads,2020-09-25,89
CMP-231,TEBG_LATAM_AD_Brand_CMP-231,TEBG,LATAM,AD,Brand,LinkedIn,2023-07-14,68
CMP-232,HCBG_EMEA_HIS_Nurture_CMP-232,HCBG,EMEA,HIS,Nurture,LinkedIn,2022-04-15,35
CMP-233,HCBG_NA_HIS_Brand_CMP-233,HCBG,NA,HIS,Brand,Programmatic,2020-11-11,61
CMP-234,TEBG_APAC_AD_LeadGen_CMP-234,TEBG,APAC,AD,LeadGen,Meta (Facebook),2021-05-14,59
CMP-235,HCBG_LATAM_MSD_Nurture_CMP-235,HCBG,LATAM,MSD,Nurture,Microsoft Ads,2020-10-06,85
CMP-236,SIBG_APAC_PSD_LeadGen_CMP-236,SIBG,APAC,PSD,LeadGen,X.com,2022-11-05,47
CMP-237,SIBG_APAC_PSD_Nurture_CMP-237,SIBG,APAC,PSD,Nurture,Microsoft Ads,2023-09-13,61
CMP-238,HCBG_LATAM_HIS_LeadGen_CMP-238,HCBG,LATAM,HIS,LeadGen,Google Ads,2024-04-11,64
CMP-239,CBG_LATAM_HIC_Brand_CMP-239,CBG,LATAM,HIC,Brand,Meta (Facebook),2021-05-04,66
CMP-240,CBG_EMEA_HIC_Brand_CMP-240,CBG,EMEA,HIC,Brand,YouTube,2022-08-26,75
CMP-241,CBG_LATAM_CHIM_LeadGen_CMP-241,CBG,LATAM,CHIM,LeadGen,TikTok,2020-09-15,62
CMP-242,TEBG_NA_AD_Brand_CMP-242,TEBG,NA,AD,Brand,Programmatic,2022-07-24,30
CMP-243,HCBG_LATAM_MSD_Brand_CMP-243,HCBG,LATAM,MSD,Brand,Programmatic,2021-06-26,51
CMP-244,CBG_NA_HIC_Nurture_CMP-244,CBG,NA,HIC,Nurture,Meta (Instagram),2022-02-17,50
CMP-245,CBG_NA_CHIM_Brand_CMP-245,CBG,NA,CHIM,Brand,Programmatic,2021-08-11,44
CMP-246,SIBG_LATAM_ASD_Nurture_CMP-246,SIBG,LATAM,ASD,Nurture,YouTube,2020-07-24,58
CMP-247,HCBG_APAC_MSD_Brand_CMP-247,HCBG,APAC,MSD,Brand,YouTube,2020-04-24,48
CMP-248,TEBG_APAC_AD_Brand_CMP-248,TEBG,APAC,AD,Brand,Google Ads,2022-04-23,66
CMP-249,HCBG_EMEA_MSD_Brand_CMP-249,HCBG,EMEA,MSD,Brand,Programmatic,2022-02-22,69
